size,sparsity,min,max,cpu_cores,runtime,hardware
10000,0.25,1,100,1,1441,0
10000,0.25,1,1000,1,1561,0
10000,0.25,1,10000,1,1561,0
10000,0.25,10,100,1,1558,0
10000,0.25,10,1000,1,1440,0
10000,0.25,10,10000,1,1500,0
10000,0.25,50,100,1,1502,0
10000,0.25,50,1000,1,1559,0
10000,0.25,50,10000,1,1558,0
10000,0.5,1,100,1,1496,0
10000,0.5,1,1000,1,1559,0
10000,0.5,1,10000,1,1500,0
10000,0.5,10,100,1,1557,0
10000,0.5,10,1000,1,1502,0
10000,0.5,10,10000,1,1556,0
10000,0.5,50,100,1,1498,0
10000,0.5,50,1000,1,1561,0
10000,0.5,50,10000,1,1441,0
10000,0.75,1,100,1,1563,0
10000,0.75,1,1000,1,1496,0
10000,0.75,1,10000,1,1498,0
10000,0.75,10,100,1,1501,0
10000,0.75,10,1000,1,1620,0
10000,0.75,10,10000,1,721,0
10000,0.75,50,100,1,721,0
10000,0.75,50,1000,1,720,0
10000,0.75,50,10000,1,720,0
12500,0.0,1,100,1,1440,0
12500,0.0,1,1000,1,1440,0
12500,0.0,1,10000,1,1385,0
12500,0.0,10,100,1,1440,0
12500,0.0,10,1000,1,1440,0
12500,0.0,10,10000,1,1441,0
12500,0.0,50,100,1,1440,0
12500,0.0,50,1000,1,1441,0
12500,0.0,50,10000,1,1440,0
12500,0.25,1,100,1,1440,0
12500,0.25,1,1000,1,1440,0
12500,0.25,1,10000,1,1441,0
12500,0.25,10,100,1,1440,0
12500,0.25,10,1000,1,1441,0
12500,0.25,10,10000,1,1440,0
12500,0.25,50,100,1,1441,0
12500,0.25,50,1000,1,1440,0
12500,0.25,50,10000,1,1495,0
12500,0.5,1,100,1,1441,0
12500,0.5,1,1000,1,1498,0
12500,0.5,1,10000,1,1498,0
12500,0.5,10,100,1,1443,0
12500,0.5,10,1000,1,1498,0
12500,0.5,10,10000,1,1498,0
12500,0.5,50,100,1,1497,0
12500,0.5,50,1000,1,1443,0
12500,0.5,50,10000,1,1498,0
12500,0.75,1,100,1,1500,0
12500,0.75,1,1000,1,1497,0
12500,0.75,1,10000,1,1500,0
12500,0.75,10,100,1,1499,0
12500,0.75,10,1000,1,1497,0
12500,0.75,10,10000,1,1497,0
12500,0.75,50,100,1,1444,0
12500,0.75,50,1000,1,1443,0
12500,0.75,50,10000,1,1496,0
3000,0.0,1,100,2,1,1
3000,0.0,1,1000,2,56,1
3000,0.0,1,10000,2,1,1
3000,0.0,10,100,2,1,1
3000,0.0,10,1000,2,2,1
3000,0.0,10,10000,2,55,1
3000,0.0,50,100,2,1,1
3000,0.0,50,1000,2,2,1
3000,0.0,50,10000,2,1,1
