,size,sparsity,min,max,cpu_cores,runtime,hardware
118,100,0.0,10,1000,8,0,4
119,100,0.0,10,10000,8,0,4
120,100,0.0,50,100,8,0,4
121,100,0.0,50,10000,8,0,4
122,100,0.25,1,100,8,0,4
123,100,0.25,1,1000,8,0,4
124,100,0.25,1,10000,8,0,4
125,100,0.25,10,100,8,0,4
126,100,0.25,10,1000,8,0,4
127,100,0.25,10,10000,8,0,4
128,100,0.25,50,1000,8,0,4
129,100,0.25,50,10000,8,0,4
130,100,0.5,1,100,8,0,4
131,100,0.5,1,1000,8,0,4
132,100,0.5,10,100,8,0,4
133,100,0.5,10,1000,8,0,4
134,100,0.5,10,10000,8,0,4
135,100,0.5,50,100,8,0,4
136,100,0.5,50,1000,8,0,4
137,100,0.75,1,100,8,0,4
138,100,0.75,1,1000,8,0,4
139,100,0.75,1,10000,8,0,4
140,100,0.75,10,1000,8,0,4
141,100,0.75,10,10000,8,0,4
142,100,0.75,50,100,8,0,4
143,100,0.75,50,1000,8,0,4
144,100,0.75,50,10000,8,0,4
145,200,0.0,1,100,1,0,0
146,200,0.0,1,1000,1,0,0
147,200,0.0,1,10000,1,0,0
148,200,0.0,10,1000,1,0,0
149,200,0.0,10,10000,1,0,0
150,200,0.0,50,100,1,0,0
151,200,0.0,50,1000,1,0,0
152,200,0.0,50,10000,1,0,0
153,200,0.25,1,100,1,0,0
154,200,0.25,1,10000,1,0,0
155,200,0.25,10,100,1,0,0
156,200,0.25,10,1000,1,0,0
157,200,0.25,10,10000,1,0,0
158,200,0.25,50,1000,1,0,0
159,200,0.25,50,10000,1,0,0
160,200,0.5,1,100,1,0,0
161,200,0.5,1,1000,1,0,0
162,200,0.5,10,100,1,0,0
163,200,0.5,10,10000,1,0,0
164,200,0.5,50,100,1,0,0
165,200,0.5,50,1000,1,0,0
166,200,0.5,50,10000,1,0,0
167,200,0.75,1,100,1,0,0
168,200,0.75,1,1000,1,0,0
169,200,0.75,1,10000,1,0,0
170,200,0.75,10,100,1,0,0
171,200,0.75,10,1000,1,0,0
172,200,0.75,10,10000,1,0,0
173,200,0.75,50,1000,1,0,0
174,200,0.0,1,100,2,0,1
175,200,0.0,1,1000,2,0,1
176,200,0.0,1,10000,2,0,1
177,200,0.0,10,100,2,0,1
178,200,0.0,10,1000,2,0,1
179,200,0.0,10,10000,2,0,1
180,200,0.0,50,10000,2,0,1
181,200,0.25,1,1000,2,0,1
182,200,0.25,1,10000,2,0,1
183,200,0.25,10,1000,2,0,1
184,200,0.25,10,10000,2,0,1
185,200,0.25,50,1000,2,0,1
186,200,0.25,50,10000,2,0,1
187,200,0.5,1,100,2,0,1
188,200,0.5,1,10000,2,0,1
189,200,0.5,10,100,2,0,1
190,200,0.5,10,1000,2,0,1
191,200,0.5,10,10000,2,0,1
192,200,0.5,50,100,2,0,1
193,200,0.5,50,1000,2,0,1
194,200,0.5,50,10000,2,0,1
195,200,0.75,1,100,2,0,1
196,200,0.75,1,1000,2,0,1
197,200,0.75,1,10000,2,0,1
198,200,0.75,10,100,2,0,1
199,200,0.75,10,1000,2,0,1
200,200,0.75,10,10000,2,0,1
201,200,0.75,50,100,2,1,1
202,200,0.75,50,10000,2,0,1
203,200,0.0,1,100,3,0,2
204,200,0.0,1,1000,3,0,2
205,200,0.0,1,10000,3,0,2
206,200,0.0,10,1000,3,0,2
207,200,0.0,50,100,3,0,2
208,200,0.0,50,1000,3,0,2
209,200,0.0,50,10000,3,0,2
210,200,0.25,1,100,3,0,2
211,200,0.25,1,1000,3,0,2
212,200,0.25,1,10000,3,0,2
213,200,0.25,10,100,3,0,2
214,200,0.25,10,1000,3,0,2
215,200,0.25,10,10000,3,0,2
216,200,0.25,50,100,3,0,2
217,200,0.25,50,1000,3,0,2
218,200,0.25,50,10000,3,0,2
219,200,0.5,1,100,3,0,2
220,200,0.5,1,1000,3,0,2
221,200,0.5,50,100,3,0,2
222,200,0.5,50,10000,3,0,2
223,200,0.75,1,100,3,0,2
224,200,0.75,1,1000,3,0,2
225,200,0.75,1,10000,3,0,2
226,200,0.75,10,100,3,0,2
227,200,0.75,10,1000,3,0,2
228,200,0.75,10,10000,3,0,2
229,200,0.75,50,100,3,0,2
230,200,0.75,50,1000,3,0,2
231,200,0.75,50,10000,3,0,2
232,200,0.0,1,100,4,0,3
233,200,0.0,1,1000,4,0,3
234,200,0.0,1,10000,4,0,3
235,200,0.0,10,100,4,0,3
236,200,0.0,10,1000,4,0,3
237,200,0.0,10,10000,4,0,3
238,200,0.0,50,100,4,0,3
239,200,0.0,50,1000,4,0,3
240,200,0.0,50,10000,4,0,3
241,200,0.25,1,1000,4,0,3
242,200,0.25,10,1000,4,0,3
243,200,0.25,10,10000,4,0,3
244,200,0.25,50,100,4,0,3
245,200,0.25,50,1000,4,0,3
246,200,0.25,50,10000,4,0,3
247,200,0.5,1,100,4,0,3
248,200,0.5,1,1000,4,0,3
249,200,0.5,10,10000,4,0,3
250,200,0.5,50,100,4,0,3
251,200,0.5,50,1000,4,0,3
252,200,0.5,50,10000,4,0,3
253,200,0.75,1,100,4,0,3
254,200,0.75,1,1000,4,0,3
255,200,0.75,1,10000,4,0,3
256,200,0.75,10,1000,4,0,3
257,200,0.75,10,10000,4,0,3
258,200,0.75,50,100,4,0,3
259,200,0.75,50,1000,4,0,3
260,200,0.75,50,10000,4,0,3
261,200,0.0,1,100,8,0,4
262,200,0.0,1,1000,8,0,4
263,200,0.0,1,10000,8,0,4
264,200,0.0,10,100,8,0,4
265,200,0.0,10,1000,8,0,4
266,200,0.0,10,10000,8,0,4
267,200,0.0,50,1000,8,0,4
268,200,0.0,50,10000,8,0,4
269,200,0.25,1,10000,8,0,4
270,200,0.25,10,1000,8,0,4
271,200,0.25,10,10000,8,0,4
272,200,0.25,50,100,8,0,4
273,200,0.25,50,1000,8,0,4
274,200,0.25,50,10000,8,0,4
275,200,0.5,1,100,8,0,4
276,200,0.5,1,1000,8,0,4
277,200,0.5,1,10000,8,0,4
278,200,0.5,10,100,8,0,4
279,200,0.5,10,10000,8,0,4
280,200,0.5,50,100,8,0,4
281,200,0.5,50,1000,8,0,4
282,200,0.5,50,10000,8,0,4
283,200,0.75,1,100,8,0,4
284,200,0.75,1,1000,8,0,4
285,200,0.75,1,10000,8,0,4
286,200,0.75,10,1000,8,0,4
287,200,0.75,10,10000,8,0,4
288,200,0.75,50,100,8,0,4
289,200,0.75,50,1000,8,0,4
290,300,0.0,1,100,1,0,0
291,300,0.0,1,1000,1,0,0
292,300,0.0,1,10000,1,0,0
293,300,0.0,10,10000,1,0,0
294,300,0.0,50,100,1,0,0
295,300,0.0,50,1000,1,0,0
296,300,0.0,50,10000,1,0,0
297,300,0.25,1,100,1,0,0
298,300,0.25,1,1000,1,0,0
299,300,0.25,10,100,1,0,0
300,300,0.25,10,1000,1,0,0
301,300,0.25,10,10000,1,0,0
302,300,0.25,50,1000,1,0,0
303,300,0.25,50,10000,1,0,0
304,300,0.5,1,100,1,0,0
305,300,0.5,1,1000,1,0,0
306,300,0.5,1,10000,1,0,0
307,300,0.5,10,100,1,0,0
308,300,0.5,10,1000,1,0,0
309,300,0.5,10,10000,1,0,0
310,300,0.5,50,100,1,0,0
311,300,0.5,50,1000,1,0,0
